volume_id,cohort,region
Chest_LIDC-IDRI_0109,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0155,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0179,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0231,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0308,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0439,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0660,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0674,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0759,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0779,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0800,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0818,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0859,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0864,Chest_LIDC-IDRI,thorax
Chest_LIDC-IDRI_0910,Chest_LIDC-IDRI,thorax
Chest_LNDb_0067,Chest_LNDb,thorax
Chest_LNDb_0154,Chest_LNDb,thorax
Chest_NSCLC-Radiogenomics_R01-007,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-010,Chest_NSCLC-Radiogenomics,thorax
Chest_NSCLC-Radiogenomics_R01-011,Chest_NSCLC-Radiogenomics,thorax
HeadNeck_SegRap25_0042-ncct,HeadNeck_SegRap25,head_neck
HeadNeck_SegRap25_0108-cect,HeadNeck_SegRap25,head_neck
Liver-Totalseg-lesions_2HMEuQCOUem3YqO3,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_4DY2n560CIhiMChg,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_61ZNJcmjFD7ovfs6,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_6VTa8f90OPd7cHx8,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_8NzPB6iTGzF5FCmw,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_HXgYiBsBsw9FzliB,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_KtUQmDKZkJEeoYfN,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_PvnNVJwF3tzdMqYn,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_QbbnaqbBSDqu86mv,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_axTp1lFl1mrWtCIM,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_b3RdXSICzqGXxjt4,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_cO7jmqfbsj8hW5Zo,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_n5Gu4ABQu1ACdWqm,Liver-Totalseg-lesions,abdomen
Liver-Totalseg-lesions_zAzcnavCV7Fg2CTc,Liver-Totalseg-lesions,abdomen
Liver_HCC-TACE-SEG_028,Liver_HCC-TACE-SEG,abdomen
Pancreas_PanTrack_003-20211006,Pancreas_PanTrack,abdomen
Pancreas_PanTrack_003-20211011,Pancreas_PanTrack,abdomen
WholeBody_LongitudinalCTLesion_0f49c89d1e-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_0f49c89d1e-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_1c9ac0159c-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_1c9ac0159c-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_3cec07e9ba-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_3cec07e9ba-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_73f7634ab3-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_73f7634ab3-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_7eabe3a164-BL-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_LongitudinalCTLesion_7eabe3a164-FU-00,WholeBody_LongitudinalCTLesion,mixed
WholeBody_MSWAL_0103,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0228,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0477,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0483,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0508,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0521,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0524,WholeBody_MSWAL,mixed
WholeBody_MSWAL_0534,WholeBody_MSWAL,mixed
WholeBody_autoPETCT_0025,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0041,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0086,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0131,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0136,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0169,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0184,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0331,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0373,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0399,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0400,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0418,WholeBody_autoPETCT,mixed
WholeBody_autoPETCT_0422,WholeBody_autoPETCT,mixed
